"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"
"8618"	"VOG10193"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8619"	"VOG10194"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8620"	"VOG10195"	"Bacteria"	3	3	2	0	"putative DNA binding excisionase protein [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8621"	"VOG10196"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8622"	"VOG10197"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8623"	"VOG10198"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8624"	"VOG10199"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8625"	"VOG10200"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8626"	"VOG10201"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8627"	"VOG10202"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8628"	"VOG10203"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8629"	"VOG10204"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8630"	"VOG10205"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8631"	"VOG10206"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8632"	"VOG10207"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8633"	"VOG10208"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8634"	"VOG10209"	"Bacteria"	3	3	2	0	"hypothetical protein [n=2]; JHP1044 mosaic, putative crystallin beta/gamma motif-containing protein [n=1]; "	"New"	NA
"8635"	"VOG10210"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; putative DNA polymerase subunit [n=1]; "	"New"	NA
"8636"	"VOG10211"	"Bacteria"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
"8637"	"VOG10212"	"Bacteria"	3	3	0	0	"No annotation provided [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8638"	"VOG10213"	"Bacteria"	3	3	1	0	"No annotation provided [n=3]; "	"New"	NA
"8639"	"VOG10214"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8640"	"VOG10215"	"Bacteria"	3	3	2	1	"hypothetical protein [n=2]; putative HNH homing endonuclease [n=1]; "	"New"	"endonuclease"
"8641"	"VOG10216"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; gp049 [n=1]; "	"New"	NA
"8642"	"VOG10217"	"Bacteria"	3	3	2	0	"metallo-beta-lactamase domain-containing protein [n=2]; metallo-beta-lactamase superfamily domain protein [n=1]; "	"New"	NA
"8643"	"VOG10218"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8644"	"VOG10219"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8645"	"VOG10220"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8646"	"VOG10221"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8647"	"VOG10222"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8648"	"VOG10223"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8649"	"VOG10224"	"Bacteria"	3	3	1	0	"putative SpoVG protein [n=3]; "	"New"	NA
"8650"	"VOG10225"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8651"	"VOG10226"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8652"	"VOG10227"	"Bacteria"	3	3	1	2	"terminase large subunit [n=2]; C-terminus of phage terminase large subunit [n=1]; "	"New"	"terminase"
"8653"	"VOG10228"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8654"	"VOG10229"	"Bacteria"	3	3	2	2	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8655"	"VOG10230"	"Bacteria"	3	3	1	1	"hypothetical protein [n=1]; amidase [n=1]; lysine [n=1]; "	"New"	NA
"8656"	"VOG10231"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8657"	"VOG10232"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; putative regulatory protein, ATPase [n=1]; "	"New"	NA
"8658"	"VOG10233"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8659"	"VOG10234"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8660"	"VOG10235"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8661"	"VOG10236"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8662"	"VOG10237"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; helix-turn-helix DNA-binding domain-containing protein [n=1]; "	"New"	NA
"8663"	"VOG10238"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; hyphothetical protein [n=1]; "	"New"	NA
"8664"	"VOG10239"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; hyphothetical protein [n=1]; "	"New"	NA
"8665"	"VOG10240"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8666"	"VOG10241"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; hyphothetical protein [n=1]; "	"New"	NA
"8667"	"VOG10242"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; hyphothetical protein [n=1]; "	"New"	NA
"8668"	"VOG10243"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; hyphothetical protein [n=1]; "	"New"	NA
"8669"	"VOG10244"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; hyphothetical protein [n=1]; "	"New"	NA
"8670"	"VOG10245"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; hyphothetical protein [n=1]; "	"New"	NA
"8671"	"VOG10246"	"Bacteria"	3	3	1	0	"hypothetical membrane protein [n=1]; No annotation provided [n=1]; hyphothetical protein [n=1]; "	"New"	NA
"8672"	"VOG10247"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8673"	"VOG10248"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8674"	"VOG10249"	"Bacteria"	3	3	2	1	"hypothetical protein [n=3]; "	"New"	NA
"8675"	"VOG10250"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8676"	"VOG10251"	"Bacteria"	3	3	2	1	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8677"	"VOG10252"	"Bacteria"	3	3	2	1	"No annotation provided [n=1]; gp027 [n=1]; hypothetical protein [n=1]; "	"New"	NA
"8678"	"VOG10253"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8679"	"VOG10254"	"Bacteria"	3	3	2	1	"CobS porphyrin biosynthetic protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8680"	"VOG10255"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8681"	"VOG10256"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8682"	"VOG10257"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8683"	"VOG10258"	"Bacteria"	3	3	2	1	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8684"	"VOG10259"	"Bacteria"	3	3	1	1	"hypothetical phage membrane protein [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8685"	"VOG10260"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8686"	"VOG10261"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8687"	"VOG10262"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8688"	"VOG10263"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8689"	"VOG10264"	"Bacteria"	3	3	1	1	"putative tail fiber protein [n=1]; hypothetical phage protein [n=1]; hypothetical protein [n=1]; "	"New"	"tail protein"
"8690"	"VOG10265"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8691"	"VOG10266"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8692"	"VOG10267"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8693"	"VOG10268"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8694"	"VOG10269"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8695"	"VOG10270"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8696"	"VOG10271"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8697"	"VOG10272"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8698"	"VOG10273"	"Bacteria"	3	3	1	1	"hypothetical phage membrane protein [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8699"	"VOG10274"	"Bacteria"	3	3	1	1	"hypothetical phage protein [n=1]; hypothetical protein [n=1]; putative transketolase [n=1]; "	"New"	NA
"8700"	"VOG10275"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8701"	"VOG10276"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8702"	"VOG10277"	"Bacteria"	3	3	1	1	"Possible tail sheath protein [n=2]; putative tail sheat protein (T4 gp18-like) [n=1]; "	"New"	"tail protein"
"8703"	"VOG10278"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8704"	"VOG10279"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8705"	"VOG10280"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8706"	"VOG10281"	"Bacteria"	3	3	1	1	"hypothetical protein [n=1]; hypothetical phage protein [n=1]; putative polysaccharide deacetylase [n=1]; "	"New"	NA
"8707"	"VOG10282"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8708"	"VOG10283"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8709"	"VOG10284"	"Bacteria"	3	3	1	1	"Possible phage tail tube protein [n=2]; putative tail tube protein (T4 gp19-like) [n=1]; "	"New"	"tail protein"
"8710"	"VOG10285"	"Bacteria"	3	3	1	1	"putative transketolase [n=1]; hypothetical phage protein [n=1]; hypothetical protein [n=1]; "	"New"	NA
"8711"	"VOG10286"	"Bacteria"	3	3	1	1	"putative N-acetylneuraminate pyruvate lyase [n=1]; hypothetical phage protein [n=1]; hypothetical protein [n=1]; "	"New"	NA
"8712"	"VOG10287"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8713"	"VOG10288"	"Bacteria"	3	3	1	1	"hypothetical phage protein [n=1]; hypothetical protein [n=1]; putative threonine dehydratase [n=1]; "	"New"	NA
"8714"	"VOG10289"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8715"	"VOG10290"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8716"	"VOG10291"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8717"	"VOG10292"	"Bacteria"	3	3	1	1	"putative minor tail assembly protein [n=1]; hypothetical protein [n=1]; hypothetical phage protein [n=1]; "	"New"	"tail assembly protein"
"8718"	"VOG10293"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8719"	"VOG10294"	"Bacteria"	3	3	1	1	"putative UDP-glucose dehydrogenase [n=1]; hypothetical protein [n=1]; hypothetical phage protein [n=1]; "	"New"	NA
"8720"	"VOG10295"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8721"	"VOG10296"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8722"	"VOG10297"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8723"	"VOG10298"	"Bacteria"	3	3	1	1	"hypothetical protein [n=1]; hypothetical phage protein [n=1]; radical SAM domain-containing protein [n=1]; "	"New"	NA
"8724"	"VOG10299"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8725"	"VOG10300"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8726"	"VOG10301"	"Bacteria"	3	3	1	1	"hypothetical phage membrane protein [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8727"	"VOG10302"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8728"	"VOG10303"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8729"	"VOG10304"	"Bacteria"	3	3	1	1	"hypothetical phage exported protein [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8730"	"VOG10305"	"Bacteria"	3	3	1	1	"No annotation provided [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8731"	"VOG10306"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8732"	"VOG10307"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8733"	"VOG10308"	"Bacteria"	3	3	1	1	"hypothetical phage protein (Radical SAM family) [n=2]; radical SAM domain-containing protein [n=1]; "	"New"	NA
"8734"	"VOG10309"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8735"	"VOG10310"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8736"	"VOG10311"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8737"	"VOG10312"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8738"	"VOG10313"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8739"	"VOG10314"	"Bacteria"	3	3	1	1	"No annotation provided [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8740"	"VOG10315"	"Bacteria"	3	3	1	1	"hypothetical phage membrane protein [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8741"	"VOG10316"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8742"	"VOG10317"	"Bacteria"	3	3	1	1	"hypothetical phage protein (Radical SAM family) [n=2]; radical SAM domain-containing protein [n=1]; "	"New"	NA
"8743"	"VOG10318"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8744"	"VOG10319"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8745"	"VOG10320"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8746"	"VOG10321"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8747"	"VOG10322"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8748"	"VOG10323"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8749"	"VOG10324"	"Bacteria"	3	3	1	1	"hypothetical phage membrane protein [n=1]; hypothetical protein [n=1]; No annotation provided [n=1]; "	"New"	NA
"8750"	"VOG10325"	"Bacteria"	3	3	1	1	"hypothetical phage membrane protein [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8751"	"VOG10326"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8752"	"VOG10327"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; hypothetical phage protein [n=1]; "	"New"	NA
"8753"	"VOG10328"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8754"	"VOG10329"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8755"	"VOG10330"	"Bacteria"	3	3	1	0	"putative holin [n=2]; phage holin3 superfamily protein [n=1]; "	"New"	NA
"8756"	"VOG10331"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8757"	"VOG10332"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; gp025 [n=1]; "	"New"	NA
"8758"	"VOG10333"	"Bacteria"	3	3	2	1	"hypothetical protein [n=2]; lysis protein Rz [n=1]; "	"New"	NA
"8759"	"VOG10334"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8760"	"VOG10335"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8761"	"VOG10336"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8762"	"VOG10337"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8763"	"VOG10338"	"Bacteria"	3	3	2	1	"hypothetical protein [n=3]; "	"New"	NA
"8764"	"VOG10339"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8765"	"VOG10340"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8766"	"VOG10341"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8767"	"VOG10342"	"Bacteria"	3	3	2	1	"HicB protein [n=2]; HicB family protein [n=1]; "	"New"	NA
"8768"	"VOG10343"	"Bacteria"	3	3	1	1	"tail fiber protein [n=1]; side tail fiber protein [n=1]; side tail fiber [n=1]; "	"New"	"tail protein"
"8769"	"VOG10344"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8770"	"VOG10345"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8771"	"VOG10346"	"Bacteria"	3	3	1	1	"hypothetical protein [n=2]; gp51 [n=1]; "	"New"	NA
"8772"	"VOG10347"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8773"	"VOG10348"	"Bacteria"	3	3	1	0	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8774"	"VOG10349"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8775"	"VOG10350"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8776"	"VOG10351"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8777"	"VOG10352"	"Bacteria"	3	3	2	0	"putative acetyltransferase [n=3]; "	"New"	NA
"8778"	"VOG10353"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8779"	"VOG10354"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8780"	"VOG10355"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8781"	"VOG10356"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8782"	"VOG10357"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8783"	"VOG10358"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8784"	"VOG10359"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8785"	"VOG10360"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8786"	"VOG10361"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8787"	"VOG10362"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8788"	"VOG10363"	"Bacteria"	3	3	2	0	"hypothetical protein [n=2]; putative virion structural protein [n=1]; "	"New"	NA
"8789"	"VOG10364"	"Bacteria"	3	3	2	0	"hypothetical protein [n=2]; putative virion structural protein [n=1]; "	"New"	NA
"8790"	"VOG10365"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8791"	"VOG10366"	"Bacteria"	3	3	2	0	"hypothetical protein [n=2]; putative virion structural protein [n=1]; "	"New"	NA
"8792"	"VOG10367"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8793"	"VOG10368"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8794"	"VOG10369"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8795"	"VOG10370"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8796"	"VOG10371"	"Bacteria"	3	3	2	0	"putative radical SAM superfamily protein 2 [n=3]; "	"New"	NA
"8797"	"VOG10372"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8798"	"VOG10373"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8799"	"VOG10374"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8800"	"VOG10375"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8801"	"VOG10376"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8802"	"VOG10377"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8803"	"VOG10378"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8804"	"VOG10379"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8805"	"VOG10380"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8806"	"VOG10381"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8807"	"VOG10382"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8808"	"VOG10383"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8809"	"VOG10384"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8810"	"VOG10385"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8811"	"VOG10386"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8812"	"VOG10387"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8813"	"VOG10388"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8814"	"VOG10389"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8815"	"VOG10390"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8816"	"VOG10391"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8817"	"VOG10392"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8818"	"VOG10393"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8819"	"VOG10394"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8820"	"VOG10395"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8821"	"VOG10396"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8822"	"VOG10397"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8823"	"VOG10398"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8824"	"VOG10399"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8825"	"VOG10400"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8826"	"VOG10401"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8827"	"VOG10402"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8828"	"VOG10403"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8829"	"VOG10404"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8830"	"VOG10405"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8831"	"VOG10406"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8832"	"VOG10407"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8833"	"VOG10408"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8834"	"VOG10409"	"Bacteria"	3	3	2	0	"hypothetical protein [n=3]; "	"New"	NA
"8835"	"VOG10410"	"Bacteria"	3	3	2	0	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8836"	"VOG10411"	"Bacteria"	3	3	2	0	"hypothetical protein [n=2]; No annotation provided [n=1]; "	"New"	NA
"8837"	"VOG10412"	"Bacteria"	3	3	1	0	"hypothetical protein [n=3]; "	"New"	NA
"8838"	"VOG10413"	"Bacteria"	3	3	1	1	"hypothetical protein [n=3]; "	"New"	NA
"8839"	"VOG10414"	"Bacteria"	3	3	1	0	"No annotation provided [n=2]; hypothetical protein [n=1]; "	"New"	NA
"8840"	"VOG10415"	"Archaea"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
"8841"	"VOG10416"	"Archaea"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
"8842"	"VOG10417"	"Archaea"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
"8843"	"VOG10418"	"Archaea"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
"8844"	"VOG10419"	"Archaea"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
"8845"	"VOG10420"	"Archaea"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
"8846"	"VOG10421"	"Archaea"	3	3	0	0	"hypothetical protein [n=3]; "	"New"	NA
